Comment,processed_text,tokens,sentiment_label,sentiment_score
"2025, Infinix note 50",infinix note,"['infinix', 'note']",neutral,0
Setia,setia,['setia'],negative,-4
pengguna 3 tahun yang lalu hadir nih wkwk awet cas kenceng batre awet pemakaian brutal game,guna hadir nih wkwk awet cas kenceng batre awet pakai brutal game,"['guna', 'hadir', 'nih', 'wkwk', 'awet', 'cas', 'kenceng', 'batre', 'awet', 'pakai', 'brutal', 'game']",positive,3
Nonton 2024 dulu 3 jutaan skrang dbwah 2 jutaan spek lebih bagus 3 thun kita liat nanti,nonton juta skrang dbwah juta spek bagus thun liat,"['nonton', 'juta', 'skrang', 'dbwah', 'juta', 'spek', 'bagus', 'thun', 'liat']",positive,3
Mendang mending TECNO,dang mending tecno,"['dang', 'mending', 'tecno']",positive,-1
"Tecno kan satu brand sama infinix 😂, lagian jaman itu keknya tecno belum eksis di indo",tecno brand infinix jaman kek tecno eks indo,"['tecno', 'brand', 'infinix', 'jaman', 'kek', 'tecno', 'eks', 'indo']",negative,-8
Infinix seri note ok ...tepuk jidat sama xiomo😂😂,infinix seri note ok tepuk jidat xiomo,"['infinix', 'seri', 'note', 'ok', 'tepuk', 'jidat', 'xiomo']",positive,4
Wadu,wadu,['wadu'],neutral,0
"Otw 2 tahun buat gawe 1 tahun full , ilang FP doang pas umur 1th 5bln . Sisanya normal jaya, tapi gk tau kok kadang boros bgt batrenya, kadang normal malah irit😅 beli hp karena lihat review ini dan yg lainnya jg sih",otw gawe full ilang fp doang pas umur th bln sisa normal jaya gk tau kadang boros bgt batrenya kadang normal irit beli hp lihat review yg jg sih,"['otw', 'gawe', 'full', 'ilang', 'fp', 'doang', 'pas', 'umur', 'th', 'bln', 'sisa', 'normal', 'jaya', 'gk', 'tau', 'kadang', 'boros', 'bgt', 'batrenya', 'kadang', 'normal', 'irit', 'beli', 'hp', 'lihat', 'review', 'yg', 'jg', 'sih']",positive,1
Saya masih setia bang sampe sekarang,setia bang sampe,"['setia', 'bang', 'sampe']",negative,-4
"2024 masi pakai HP ini absen?  Saya masi pakai untuk ngojol enak banget, batrenya ga boros, mapsnya akurat",mas pakai hp absen mas pakai ngojol enak banget batrenya ga boros mapsnya akurat,"['mas', 'pakai', 'hp', 'absen', 'mas', 'pakai', 'ngojol', 'enak', 'banget', 'batrenya', 'ga', 'boros', 'mapsnya', 'akurat']",negative,-6
"Aku bang, tapi mau ganti sekarang",bang ganti,"['bang', 'ganti']",positive,0
Masih pake gak bg?,pake gak bg,"['pake', 'gak', 'bg']",neutral,0
"Masih pake,cuma ganti baterai doang",pakecuma ganti baterai doang,"['pakecuma', 'ganti', 'baterai', 'doang']",positive,-3
Re,re,['re'],neutral,0
"Bang rekomendasi toko baterai hp infinix note 8, soal nya baterai hp ku cepet bgt habis nya🙏🙏🙏",bang rekomendasi toko baterai hp infinix note nya baterai hp ku cepet bgt habis nya,"['bang', 'rekomendasi', 'toko', 'baterai', 'hp', 'infinix', 'note', 'nya', 'baterai', 'hp', 'ku', 'cepet', 'bgt', 'habis', 'nya']",negative,-4
Specknya sama dengan redmi note 10s keunggulan note 10s amoled. Streo spiker,specknya redmi note s unggul note s amoled streo spiker,"['specknya', 'redmi', 'note', 's', 'unggul', 'note', 's', 'amoled', 'streo', 'spiker']",neutral,0
bang infinix note 10 pro nfc bisa wireless charger ga?,bang infinix note pro nfc wireless charger ga,"['bang', 'infinix', 'note', 'pro', 'nfc', 'wireless', 'charger', 'ga']",neutral,0
Yg bisa cuma note 30 pro,yg note pro,"['yg', 'note', 'pro']",neutral,0
​@@bnyk_bacotdan note 40 series,bnyk bacotdan note series,"['bnyk', 'bacotdan', 'note', 'series']",neutral,0
Di marketplace skrng 1jt 200 an itu harga second apa baru ya atau hp palsu ? Mau beli kok ragu,marketplace skrng jt an harga second ya hp palsu beli ragu,"['marketplace', 'skrng', 'jt', 'an', 'harga', 'second', 'ya', 'hp', 'palsu', 'beli', 'ragu']",positive,3
Pengen ganti hp YA ALLAH Udh  6 taun pake Oppo f1s udh ngeframe parah tapi duit belum kekumpul terus 😢😢😢,ken ganti hp ya allah udh taun pake oppo fs udh ngeframe parah duit kumpul,"['ken', 'ganti', 'hp', 'ya', 'allah', 'udh', 'taun', 'pake', 'oppo', 'fs', 'udh', 'ngeframe', 'parah', 'duit', 'kumpul']",positive,0
Yg speker ny paling bener si hot10,yg speker ny bener si hot,"['yg', 'speker', 'ny', 'bener', 'si', 'hot']",negative,-2
"Bg review infinix gt 10 pro, katanya udah rilis?",bg review infinix gt pro udah rilis,"['bg', 'review', 'infinix', 'gt', 'pro', 'udah', 'rilis']",positive,3
Assalamualaikum kak mau tanya beli hp infinix not 10 pro itu belinya di mana ya kok saya cari²ga ketemu²tolong bls dong kak🙏🙏,assalamualaikum kak beli hp infinix not pro beli ya cari ga ketemu tolong bls kak,"['assalamualaikum', 'kak', 'beli', 'hp', 'infinix', 'not', 'pro', 'beli', 'ya', 'cari', 'ga', 'ketemu', 'tolong', 'bls', 'kak']",positive,4
"HP apa telenan njir 6,95 inch",hp telenan njir inch,"['hp', 'telenan', 'njir', 'inch']",negative,-3
"Kalo lu sering make ipad, layar segitu kecil bro asli",kalo lu make ipad layar segitu bro asli,"['kalo', 'lu', 'make', 'ipad', 'layar', 'segitu', 'bro', 'asli']",negative,-1
Ngumpulin dana buat upgrade ke hp ini,ngumpulin dana upgrade hp,"['ngumpulin', 'dana', 'upgrade', 'hp']",positive,4
Bang gue beli dong hp yg udah di review,bang gue beli hp yg udah review,"['bang', 'gue', 'beli', 'hp', 'yg', 'udah', 'review']",positive,-1
nama note tp kaga ada note²ny. kebiasaan merk cina mengikuti brand tnp ad arti😊,nama note tp kaga note ny biasa merk cina ikut brand tnp ad arti,"['nama', 'note', 'tp', 'kaga', 'note', 'ny', 'biasa', 'merk', 'cina', 'ikut', 'brand', 'tnp', 'ad', 'arti']",neutral,-4
6:11,,[],neutral,0
izin screenshot bang,izin screenshot bang,"['izin', 'screenshot', 'bang']",negative,-4
Bang kalo sekarang masih di jual di toko offline gak?,bang kalo jual toko offline gak,"['bang', 'kalo', 'jual', 'toko', 'offline', 'gak']",positive,1
Jelek amat kamera nya,jelek kamera nya,"['jelek', 'kamera', 'nya']",negative,-5
Suport otg nggak bang?,suport otg nggak bang,"['suport', 'otg', 'nggak', 'bang']",positive,-2
"Mau tanya dong knp ya kalo di cas layarnya kedap kedip sedangkan kalo ga di cas engga kedap kedip, HP infinix note 10 pro",knp ya kalo cas layar kedap kedip kalo ga cas engga kedap kedip hp infinix note pro,"['knp', 'ya', 'kalo', 'cas', 'layar', 'kedap', 'kedip', 'kalo', 'ga', 'cas', 'engga', 'kedap', 'kedip', 'hp', 'infinix', 'note', 'pro']",positive,4
buat tahun 2023 masih worth nggak bang david,worth nggak bang david,"['worth', 'nggak', 'bang', 'david']",positive,-2
Infinix gk ada updatetan utk sofware,infinix gk updatetan utk sofware,"['infinix', 'gk', 'updatetan', 'utk', 'sofware']",neutral,0
3 :06 kenapa poco,poco,['poco'],neutral,0
Cuma infinik hp raja gaming...sya main 2 jam cum habis 10% dan tidak panas,infinik hp raja gamingsya main jam cum habis panas,"['infinik', 'hp', 'raja', 'gamingsya', 'main', 'jam', 'cum', 'habis', 'panas']",positive,1
"Udah setahun aja nih bang riview infinix , apakah versi xos nya udah ada yang baru atau udah bisa di update ke versi xos terbaru di tahun 2023 ?",udah tahun aja nih bang riview infinix versi xos nya udah udah update versi xos baru,"['udah', 'tahun', 'aja', 'nih', 'bang', 'riview', 'infinix', 'versi', 'xos', 'nya', 'udah', 'udah', 'update', 'versi', 'xos', 'baru']",positive,1
8/128 apa 8/256,,[],neutral,0
Ram 6 int 6 ???,ram int,"['ram', 'int']",neutral,0
Banding bandingke,banding bandingke,"['banding', 'bandingke']",positive,0
"Bg aku baru nnton video ini,, sebenarnya video nya bisa di stabilkan jadi kyak 4k",bg nnton video video nya stabil kyak k,"['bg', 'nnton', 'video', 'video', 'nya', 'stabil', 'kyak', 'k']",positive,3
"Saya cuman berharap aja ,kalo pihak infinix mengeluarkan hp gaming dengan harga yg terjangkau ,masak infinix ngluarin hp gaming tapi yg gaming cuma kardusnya aja ,ada mobiladends.nya",cuman harap aja kalo infinix keluar hp gaming harga yg jangkau masak infinix ngluarin hp gaming yg gaming kardus aja mobiladendsnya,"['cuman', 'harap', 'aja', 'kalo', 'infinix', 'keluar', 'hp', 'gaming', 'harga', 'yg', 'jangkau', 'masak', 'infinix', 'ngluarin', 'hp', 'gaming', 'yg', 'gaming', 'kardus', 'aja', 'mobiladendsnya']",positive,2
