Comment,processed_text,tokens
"2025, Infinix note 50",infinix note,"['infinix', 'note']"
Setia,setia,['setia']
pengguna 3 tahun yang lalu hadir nih wkwk awet cas kenceng batre awet pemakaian brutal game,guna hadir nih wkwk awet cas kenceng batre awet pakai brutal game,"['guna', 'hadir', 'nih', 'wkwk', 'awet', 'cas', 'kenceng', 'batre', 'awet', 'pakai', 'brutal', 'game']"
Nonton 2024 dulu 3 jutaan skrang dbwah 2 jutaan spek lebih bagus 3 thun kita liat nanti,nonton juta skrang dbwah juta spek bagus thun liat,"['nonton', 'juta', 'skrang', 'dbwah', 'juta', 'spek', 'bagus', 'thun', 'liat']"
Mendang mending TECNO,dang mending tecno,"['dang', 'mending', 'tecno']"
"Tecno kan satu brand sama infinix 😂, lagian jaman itu keknya tecno belum eksis di indo",tecno brand infinix jaman kek tecno eks indo,"['tecno', 'brand', 'infinix', 'jaman', 'kek', 'tecno', 'eks', 'indo']"
Infinix seri note ok ...tepuk jidat sama xiomo😂😂,infinix seri note ok tepuk jidat xiomo,"['infinix', 'seri', 'note', 'ok', 'tepuk', 'jidat', 'xiomo']"
Wadu,wadu,['wadu']
"Otw 2 tahun buat gawe 1 tahun full , ilang FP doang pas umur 1th 5bln . Sisanya normal jaya, tapi gk tau kok kadang boros bgt batrenya, kadang normal malah irit😅 beli hp karena lihat review ini dan yg lainnya jg sih",otw gawe full ilang fp doang pas umur th bln sisa normal jaya gk tau kadang boros bgt batrenya kadang normal irit beli hp lihat review yg jg sih,"['otw', 'gawe', 'full', 'ilang', 'fp', 'doang', 'pas', 'umur', 'th', 'bln', 'sisa', 'normal', 'jaya', 'gk', 'tau', 'kadang', 'boros', 'bgt', 'batrenya', 'kadang', 'normal', 'irit', 'beli', 'hp', 'lihat', 'review', 'yg', 'jg', 'sih']"
Saya masih setia bang sampe sekarang,setia bang sampe,"['setia', 'bang', 'sampe']"
"2024 masi pakai HP ini absen?  Saya masi pakai untuk ngojol enak banget, batrenya ga boros, mapsnya akurat",mas pakai hp absen mas pakai ngojol enak banget batrenya ga boros mapsnya akurat,"['mas', 'pakai', 'hp', 'absen', 'mas', 'pakai', 'ngojol', 'enak', 'banget', 'batrenya', 'ga', 'boros', 'mapsnya', 'akurat']"
"Aku bang, tapi mau ganti sekarang",bang ganti,"['bang', 'ganti']"
Masih pake gak bg?,pake gak bg,"['pake', 'gak', 'bg']"
"Masih pake,cuma ganti baterai doang",pakecuma ganti baterai doang,"['pakecuma', 'ganti', 'baterai', 'doang']"
Re,re,['re']
"Bang rekomendasi toko baterai hp infinix note 8, soal nya baterai hp ku cepet bgt habis nya🙏🙏🙏",bang rekomendasi toko baterai hp infinix note nya baterai hp ku cepet bgt habis nya,"['bang', 'rekomendasi', 'toko', 'baterai', 'hp', 'infinix', 'note', 'nya', 'baterai', 'hp', 'ku', 'cepet', 'bgt', 'habis', 'nya']"
Specknya sama dengan redmi note 10s keunggulan note 10s amoled. Streo spiker,specknya redmi note s unggul note s amoled streo spiker,"['specknya', 'redmi', 'note', 's', 'unggul', 'note', 's', 'amoled', 'streo', 'spiker']"
bang infinix note 10 pro nfc bisa wireless charger ga?,bang infinix note pro nfc wireless charger ga,"['bang', 'infinix', 'note', 'pro', 'nfc', 'wireless', 'charger', 'ga']"
Yg bisa cuma note 30 pro,yg note pro,"['yg', 'note', 'pro']"
​@@bnyk_bacotdan note 40 series,bnyk bacotdan note series,"['bnyk', 'bacotdan', 'note', 'series']"
Di marketplace skrng 1jt 200 an itu harga second apa baru ya atau hp palsu ? Mau beli kok ragu,marketplace skrng jt an harga second ya hp palsu beli ragu,"['marketplace', 'skrng', 'jt', 'an', 'harga', 'second', 'ya', 'hp', 'palsu', 'beli', 'ragu']"
Pengen ganti hp YA ALLAH Udh  6 taun pake Oppo f1s udh ngeframe parah tapi duit belum kekumpul terus 😢😢😢,ken ganti hp ya allah udh taun pake oppo fs udh ngeframe parah duit kumpul,"['ken', 'ganti', 'hp', 'ya', 'allah', 'udh', 'taun', 'pake', 'oppo', 'fs', 'udh', 'ngeframe', 'parah', 'duit', 'kumpul']"
Yg speker ny paling bener si hot10,yg speker ny bener si hot,"['yg', 'speker', 'ny', 'bener', 'si', 'hot']"
"Bg review infinix gt 10 pro, katanya udah rilis?",bg review infinix gt pro udah rilis,"['bg', 'review', 'infinix', 'gt', 'pro', 'udah', 'rilis']"
Assalamualaikum kak mau tanya beli hp infinix not 10 pro itu belinya di mana ya kok saya cari²ga ketemu²tolong bls dong kak🙏🙏,assalamualaikum kak beli hp infinix not pro beli ya cari ga ketemu tolong bls kak,"['assalamualaikum', 'kak', 'beli', 'hp', 'infinix', 'not', 'pro', 'beli', 'ya', 'cari', 'ga', 'ketemu', 'tolong', 'bls', 'kak']"
"HP apa telenan njir 6,95 inch",hp telenan njir inch,"['hp', 'telenan', 'njir', 'inch']"
"Kalo lu sering make ipad, layar segitu kecil bro asli",kalo lu make ipad layar segitu bro asli,"['kalo', 'lu', 'make', 'ipad', 'layar', 'segitu', 'bro', 'asli']"
Ngumpulin dana buat upgrade ke hp ini,ngumpulin dana upgrade hp,"['ngumpulin', 'dana', 'upgrade', 'hp']"
Bang gue beli dong hp yg udah di review,bang gue beli hp yg udah review,"['bang', 'gue', 'beli', 'hp', 'yg', 'udah', 'review']"
nama note tp kaga ada note²ny. kebiasaan merk cina mengikuti brand tnp ad arti😊,nama note tp kaga note ny biasa merk cina ikut brand tnp ad arti,"['nama', 'note', 'tp', 'kaga', 'note', 'ny', 'biasa', 'merk', 'cina', 'ikut', 'brand', 'tnp', 'ad', 'arti']"
6:11,,[]
izin screenshot bang,izin screenshot bang,"['izin', 'screenshot', 'bang']"
Bang kalo sekarang masih di jual di toko offline gak?,bang kalo jual toko offline gak,"['bang', 'kalo', 'jual', 'toko', 'offline', 'gak']"
Jelek amat kamera nya,jelek kamera nya,"['jelek', 'kamera', 'nya']"
Suport otg nggak bang?,suport otg nggak bang,"['suport', 'otg', 'nggak', 'bang']"
"Mau tanya dong knp ya kalo di cas layarnya kedap kedip sedangkan kalo ga di cas engga kedap kedip, HP infinix note 10 pro",knp ya kalo cas layar kedap kedip kalo ga cas engga kedap kedip hp infinix note pro,"['knp', 'ya', 'kalo', 'cas', 'layar', 'kedap', 'kedip', 'kalo', 'ga', 'cas', 'engga', 'kedap', 'kedip', 'hp', 'infinix', 'note', 'pro']"
buat tahun 2023 masih worth nggak bang david,worth nggak bang david,"['worth', 'nggak', 'bang', 'david']"
Infinix gk ada updatetan utk sofware,infinix gk updatetan utk sofware,"['infinix', 'gk', 'updatetan', 'utk', 'sofware']"
3 :06 kenapa poco,poco,['poco']
Cuma infinik hp raja gaming...sya main 2 jam cum habis 10% dan tidak panas,infinik hp raja gamingsya main jam cum habis panas,"['infinik', 'hp', 'raja', 'gamingsya', 'main', 'jam', 'cum', 'habis', 'panas']"
"Udah setahun aja nih bang riview infinix , apakah versi xos nya udah ada yang baru atau udah bisa di update ke versi xos terbaru di tahun 2023 ?",udah tahun aja nih bang riview infinix versi xos nya udah udah update versi xos baru,"['udah', 'tahun', 'aja', 'nih', 'bang', 'riview', 'infinix', 'versi', 'xos', 'nya', 'udah', 'udah', 'update', 'versi', 'xos', 'baru']"
8/128 apa 8/256,,[]
Ram 6 int 6 ???,ram int,"['ram', 'int']"
Banding bandingke,banding bandingke,"['banding', 'bandingke']"
"Bg aku baru nnton video ini,, sebenarnya video nya bisa di stabilkan jadi kyak 4k",bg nnton video video nya stabil kyak k,"['bg', 'nnton', 'video', 'video', 'nya', 'stabil', 'kyak', 'k']"
"Saya cuman berharap aja ,kalo pihak infinix mengeluarkan hp gaming dengan harga yg terjangkau ,masak infinix ngluarin hp gaming tapi yg gaming cuma kardusnya aja ,ada mobiladends.nya",cuman harap aja kalo infinix keluar hp gaming harga yg jangkau masak infinix ngluarin hp gaming yg gaming kardus aja mobiladendsnya,"['cuman', 'harap', 'aja', 'kalo', 'infinix', 'keluar', 'hp', 'gaming', 'harga', 'yg', 'jangkau', 'masak', 'infinix', 'ngluarin', 'hp', 'gaming', 'yg', 'gaming', 'kardus', 'aja', 'mobiladendsnya']"
Jujur pas pertama kali lihat note 10 pro saya berasumsi bahwa pasti menjadi xiaomi killer tp nyatanya tidak☹️ masak hp kelas midrange layarnya gak amoled?? trus layarnya ngudo gaada perlindungan corning gorilla atau apalah kek😌 jujur pas pertama kali saya berasumsi ini bahwa pasti menjadi redmi note 10 pro killer nyatanya tidak saya kecewa banget sih sama gimmicknya infinix plis lawan kamu semuanya displaynya udh amoled msk km sendirian pake layar ilmu pengetahuan sosial😶? ayo berubah infinix katanya mau jadi redmi killer??,jujur pas kali lihat note pro asumsi xiaomi killer tp masak hp kelas midrange layar gak amoled trus layar ngudo gaada lindung corning gorilla apa kek jujur pas kali asumsi redmi note pro killer kecewa banget sih gimmicknya infinix plis lawan displaynya udh amoled msk km pake layar ilmu tahu sosial ayo ubah infinix redmi killer,"['jujur', 'pas', 'kali', 'lihat', 'note', 'pro', 'asumsi', 'xiaomi', 'killer', 'tp', 'masak', 'hp', 'kelas', 'midrange', 'layar', 'gak', 'amoled', 'trus', 'layar', 'ngudo', 'gaada', 'lindung', 'corning', 'gorilla', 'apa', 'kek', 'jujur', 'pas', 'kali', 'asumsi', 'redmi', 'note', 'pro', 'killer', 'kecewa', 'banget', 'sih', 'gimmicknya', 'infinix', 'plis', 'lawan', 'displaynya', 'udh', 'amoled', 'msk', 'km', 'pake', 'layar', 'ilmu', 'tahu', 'sosial', 'ayo', 'ubah', 'infinix', 'redmi', 'killer']"
Bang mending realme 5i atau Infinix note 10 ya?,bang mending realme i infinix note ya,"['bang', 'mending', 'realme', 'i', 'infinix', 'note', 'ya']"
@@NoName-zm6xd kalo pengen ngegame pilih infinix aja bro tp kalau cari yang kameranya gonjreng dan gak terlalu beratin game 5i masih compatible banget bro,nonamezmxd kalo ken ngegame pilih infinix aja bro tp cari kamera gonjreng gak beratin game i compatible banget bro,"['nonamezmxd', 'kalo', 'ken', 'ngegame', 'pilih', 'infinix', 'aja', 'bro', 'tp', 'cari', 'kamera', 'gonjreng', 'gak', 'beratin', 'game', 'i', 'compatible', 'banget', 'bro']"
